cell,integration_cluster,cell_type,sample_type
X200511195338613.N,0,Effector/Memory CD4+ T cells,N
X200511195933021.T,0,CD4+ T cell,T
X200561480657206.T,1,Effector/Memory CD8+ T cells,T
X200561481370342.T,0,T regulatory cells,T
X200561495267189.T,0,CD4+ T cell,T
X200561495533485.T,1,CD4 or CD8 T cell,T
X200561495755700.N,0,Effector/Memory CD4+ T cells,N
X200561495759068.T,8,Non Blood Cell,T
X200561495797044.N,2,Pro-angiogenesis Macrophage,N
X200561495828715.N,1,Effector/Memory CD8+ T cells,N
X200561507814244.N,2,Macrophage,N
X200561507911531.T,5,B Cell,T
X200561508374374.T,6,Exhausted CD8+ T cells,T
X200561508435868.N,7,Pro-angiogenesis Macrophage,N
X200561508670750.T,1,Exhausted CD8+ T cells,T
X200561526728603.T,2,Macrophage,T
X200561527475499.T,0,CD4+ T cell,T
X200562822797085.T,11,cDC2,T
X200562822825716.T,0,Tfh/Th1 helper CD4+ T cells,T
X200562822830316.N,1,Effector/Memory CD8+ T cells,N
X200562823251877.T,0,T regulatory cells,T
X200562823314660.T,1,CD8+ T cell,T
X200562823358692.N,1,CD4 or CD8 T cell,N
X200562837437796.T,0,CD4+ T cell,T
X200562837707483.T,1,Exhausted CD8+ T cells,T
X200562838198004.N,13,Lung Cancer Cell,N
X200562838223732.N,1,CD8 T or NK cell,N
X200562838292398.N,2,Pro-angiogenesis Macrophage,N
X200562850253037.N,2,Pro-angiogenesis Macrophage,N
X200562850511661.T,0,CD4+ T cell,T
X200562868926390.N,4,Phagocytosis Macrophage,N
X200562869128109.T,4,Macrophage,T
X200562869201822.N,2,Pro-angiogenesis Macrophage,N
X200562869724894.N,1,Effector/Memory CD8+ T cells,N
X200563762522909.N,2,Pro-angiogenesis Macrophage,N
X200563762583284.T,0,Natural killer cell,T
X200563777232308.N,3,Pro-angiogenesis Macrophage,N
X200563777558324.N,7,Macrophage,N
X200563777779637.T,0,CD4+ T cell,T
X200563777812323.N,1,Effector/Memory CD8+ T cells,N
X200563789581149.T,0,Effector/Memory CD8+ T cells,T
X200563790302622.N,3,Pro-angiogenesis Macrophage,N
X200563808418717.T,0,CD4+ T cell,T
X200563808693478.N,9,Pro-angiogenesis Macrophage,N
X200563809217894.T,4,Naive CD4+ T cells,T
X200563809245604.T,4,Macrophage,T
X200570473658789.T,8,Pancreatic Cancer Cell,T
X200570473737051.N,4,Pro-angiogenesis Macrophage,N
X200570487851750.T,1,CD4+ T cell,T
X200570488088420.T,0,CD8 T or NK cell,T
X200570488669998.T,5,B Cell,T
X200570500431276.T,5,B Cell,T
X200570500470636.T,0,T regulatory cells,T
X200570501261557.T,0,Effector/Memory CD8+ T cells,T
X200570519611244.T,8,Pancreatic Cancer Cell,T
X200570519840686.T,1,Effector/Memory CD8+ T cells,T
X200570519894899.N,0,Blood Cell,N
X200570519901941.T,1,Exhausted CD8+ T cells,T
X200570520092068.T,2,Macrophage or Dendritic Cell,T
X200899038701942.T,0,Effector/Memory CD4+ T cells,T
X200899053373292.T,14,Mast cell,T
X200899053442868.N,2,Pro-angiogenesis Macrophage,N
X200899065691446.T,4,Phagocytosis Macrophage,T
X200899065699637.T,8,Any Cell,T
X200899065703134.T,6,Natural killer cell,T
X200899065732332.N,4,Macrophage,N
X200899065734891.T,8,Non Blood Cell,T
X200899066226542.T,9,Exhausted CD8+ T cells,T
X200899084339635.T,1,CD4+ T cell,T
X200899084344102.T,0,CD4 or CD8 T cell,T
X200899084380468.N,1,Effector/Memory CD4+ T cells,N
X200899084900660.N,3,Pro-angiogenesis Macrophage,N
X200899085088684.T,0,Effector/Memory CD8+ T cells,T
X200899085090212.T,7,Macrophage,T
X200922526234974.N,3,Pro-angiogenesis Macrophage,N
X200922526279454.T,0,Exhausted CD8+ T cells,T
X200922526309300.N,0,Effector/Memory CD4+ T cells,N
X200922526828828.N,1,Effector/Memory CD4+ T cells,N
X200922527086451.N,2,Pro-angiogenesis Macrophage,N
X200922527095531.N,4,Macrophage,N
X200922540980638.T,5,B Cell,T
X200922541177270.N,4,Pro-angiogenesis Macrophage,N
X200922541250358.T,10,CAFinfla,T
X200922541451507.T,2,Macrophage,T
X200922541714675.N,3,Pro-angiogenesis Macrophage,N
X200922541735198.T,0,CD4+ T cell,T
X200922541767005.N,0,CD4 or CD8 T cell,N
X200922541767414.N,6,Natural killer cell,N
X200922553505502.N,0,Effector/Memory CD4+ T cells,N
X200922553793886.N,3,Pro-angiogenesis Macrophage,N
X200922554124699.T,1,CD8+ T cell,T
X200922572384163.T,3,Macrophage,T
X200922572442035.T,0,CD4+ T cell,T
X200922572445980.T,5,B Cell,T
X200922572712862.N,0,Effector/Memory CD4+ T cells,N
X200922572732262.N,3,Pro-angiogenesis Macrophage,N
X200922572732262.T,0,CD4+ T cell,T
X200922573196635.T,8,Normal Fibroblast,T
X200922573232357.N,0,Effector/Memory CD4+ T cells,N
X200922573260723.T,1,Exhausted CD8+ T cells,T
X200967489435894.T,1,Exhausted CD8+ T cells,T
X200967489538934.N,3,Pro-angiogenesis Macrophage,N
X200967504653733.N,6,Natural killer cell,N
X200967516506973.N,6,Natural killer cell,N
X200967516772774.N,8,Lung Cancer Cell,N
X200967516777699.T,0,CD4 or CD8 T cell,T
X200967535614238.T,0,T regulatory cells,T
X200967535647133.T,0,Effector/Memory CD4+ T cells,T
X200967535652123.T,12,Endothelial Cells,T
X200967536105308.N,6,Natural killer cell,N
X200967536167221.N,9,Pro-angiogenesis Macrophage,N
X200974065940253.N,2,Pro-angiogenesis Macrophage,N
X200974065953133.N,2,Pro-angiogenesis Macrophage,N
X200974066112438.T,5,B Cell,T
X200974066636588.T,1,Effector/Memory CD8+ T cells,T
X200974066641179.T,8,Pancreatic Cancer Cell,T
X200974080555828.N,3,Pro-angiogenesis Macrophage,N
X200974080628964.T,0,CD4+ T cell,T
X200974080788277.N,3,Pro-angiogenesis Macrophage,N
X200974093371244.T,10,CAFmyo,T
X200974093470430.N,2,Phagocytosis Macrophage,N
X200974093638558.N,2,Macrophage,N
X200974111988083.N,2,Pro-angiogenesis Macrophage,N
X200974112340892.T,10,CAFadi,T
X200974112537460.N,7,Pro-angiogenesis Macrophage,N
X200974112841051.T,1,CD4 or CD8 T cell,T
X200983461087133.T,4,Blood Cell,T
X200983461149100.T,0,T regulatory cells,T
X200983461189980.T,1,Exhausted CD8+ T cells,T
X200983461649125.N,2,Pro-angiogenesis Macrophage,N
X200983476096220.T,0,CD4+ T cell,T
X200983476652773.N,8,Lung Cancer Cell,N
X200983488915747.N,3,Pro-angiogenesis Macrophage,N
X200983507229414.N,0,Macrophage or Dendritic Cell,N
X200983507324198.N,3,Pro-angiogenesis Macrophage,N
X200983507495771.T,13,Pancreatic Cancer Cell,T
X200983507744565.N,6,Natural killer cell,N
X200983507811678.N,3,Pro-angiogenesis Macrophage,N
X200994198511019.T,8,CAFmyo,T
X200994198572446.N,4,Pro-angiogenesis Macrophage,N
X200994198842596.T,5,B Cell,T
X200994213185454.T,0,Blood Cell,T
X200994213804404.N,1,Effector/Memory CD8+ T cells,N
X200994213969269.T,1,Effector/Memory CD8+ T cells,T
X200994213976355.T,2,Phagocytosis Macrophage,T
X200994214075804.T,9,Phagocytosis Macrophage,T
X200994225773486.T,1,Exhausted CD8+ T cells,T
X200994225810731.T,5,B Cell,T
X200994225867638.N,4,Pro-angiogenesis Macrophage,N
X200994225871731.N,13,Non Blood Cell,N
X200994226105589.N,2,Pro-angiogenesis Macrophage,N
X200994226584501.T,5,B Cell,T
X200994244905332.T,5,B Cell,T
X200994244909341.N,2,Pro-angiogenesis Macrophage,N
X200994245262195.N,0,Effector/Memory CD4+ T cells,N
X200994245490542.T,2,Phagocytosis Macrophage,T
X201111639080163.T,0,T regulatory cells,T
X201111639088052.T,1,Exhausted CD8+ T cells,T
X201111639091940.N,3,Pro-angiogenesis Macrophage,N
X201111639091940.T,0,Effector/Memory CD8+ T cells,T
X201111639308725.T,0,CD4 or CD8 T cell,T
X201111653731046.N,3,Pro-angiogenesis Macrophage,N
X201111653759405.N,0,Blood Cell,N
X201111653764380.N,2,Pro-angiogenesis Macrophage,N
X201111654260059.N,2,Pro-angiogenesis Macrophage,N
X201111666379494.N,2,Pro-angiogenesis Macrophage,N
X201111685220787.T,4,CD4+ T cell,T
X201111685224355.N,0,Effector/Memory CD4+ T cells,N
X201111685457758.N,3,Pro-angiogenesis Macrophage,N
X201111685491499.N,2,Pro-angiogenesis Macrophage,N
X201111685512092.N,4,Phagocytosis Macrophage,N
X201111685679477.T,0,CD4+ T cell,T
X201111685774237.N,9,Pro-angiogenesis Macrophage,N
X201111685937461.N,0,Effector/Memory CD4+ T cells,N
X201114457696028.N,1,Effector/Memory CD8+ T cells,N
X201114457893750.N,6,Natural killer cell,N
X201114458373411.T,9,CD8+ T cell,T
X201114472303334.T,4,Phagocytosis Macrophage,T
X201114472335277.T,10,CAFinfla,T
X201114472626916.T,1,Effector/Memory CD8+ T cells,T
X201114484885862.T,7,Macrophage,T
X201114485119270.T,0,Effector/Memory CD4+ T cells,T
X201114485648691.N,2,Pro-angiogenesis Macrophage,N
X201114504083302.N,3,Pro-angiogenesis Macrophage,N
X201114504317355.T,0,CD4 or CD8 T cell,T
X201465571469748.N,4,Pro-angiogenesis Macrophage,N
X201465571522355.N,15,pDC,N
X201465571753388.N,2,Pro-angiogenesis Macrophage,N
X201465571948461.T,1,CD8+ T cell,T
X201465571952989.N,2,Pro-angiogenesis Macrophage,N
X201465586142638.T,0,CD4+ T cell,T
X201465586400171.N,6,Natural killer cell,N
X201465586670324.N,8,Lung Cancer Cell,N
X201465586706356.T,1,CD4 or CD8 T cell,T
X201465598459243.N,3,Pro-angiogenesis Macrophage,N
X201465598723893.N,1,Effector/Memory CD4+ T cells,N
X201465599015333.T,4,Pro-angiogenesis Macrophage,T
X201465599052517.T,5,B Cell,T
X201465617370398.T,0,CD4+ T cell,T
X201465617574692.N,4,Pro-angiogenesis Macrophage,N
X201465617639276.N,4,Macrophage,N
X201465618119899.N,6,Natural killer cell,N
X201465618152750.N,2,Pro-angiogenesis Macrophage,N
X201474295322333.N,2,Pro-angiogenesis Macrophage,N
X201474295327027.T,5,B Cell,T
X201474295384811.N,11,cDC1,N
X201474295426284.T,1,Effector/Memory CD8+ T cells,T
X201474295586038.T,0,T regulatory cells,T
X201474295851437.N,4,Pro-angiogenesis Macrophage,N
X201474295917475.T,1,Effector/Memory CD8+ T cells,T
X201474310064349.T,4,Blood Cell,T
X201474310069148.T,3,Pro-angiogenesis Macrophage,T
X201474310367021.N,4,Pro-angiogenesis Macrophage,N
X201474310588317.N,3,Pro-angiogenesis Macrophage,N
X201474310782325.N,0,T regulatory cells,N
X201474341727012.N,0,Blood Cell,N
X201474341788070.N,4,Macrophage,N
X201474342312356.T,5,B Cell,T
X201523553299316.N,0,Effector/Memory CD4+ T cells,N
X201523554011884.N,0,Naive CD4+ T cells,N
X201523567946468.N,6,Natural killer cell,N
X201523568207708.N,2,Pro-angiogenesis Macrophage,N
X201523568753446.N,6,Natural killer cell,N
X201523580548845.T,0,Effector/Memory CD8+ T cells,T
X201523580754214.T,0,Tfh/Th1 helper CD4+ T cells,T
X201523581016355.N,3,Pro-angiogenesis Macrophage,N
X201523581016355.T,1,Exhausted CD8+ T cells,T
X201523581306678.N,2,Macrophage,N
X201523581315373.N,6,Natural killer cell,N
X201523581376862.N,7,Pro-angiogenesis Macrophage,N
X201523599361950.N,0,Effector/Memory CD4+ T cells,N
X201523599927659.N,2,Pro-angiogenesis Macrophage,N
X201523600148379.N,2,Pro-angiogenesis Macrophage,N
X201585830254499.T,5,B Cell,T
X201585831078622.T,1,Exhausted CD8+ T cells,T
X201585845189046.N,11,Pro-angiogenesis Macrophage,N
X201585845463907.N,2,Pro-angiogenesis Macrophage,N
X201585857547118.N,0,Naive CD4+ T cells,N
X201585857775853.T,0,Effector/Memory CD4+ T cells,T
X201585857805662.T,1,Exhausted CD8+ T cells,T
X201585857808181.T,0,T regulatory cells,T
X201585876449126.N,2,Phagocytosis Macrophage,N
X201585876655523.N,3,Pro-angiogenesis Macrophage,N
X201585876920054.N,3,Pro-angiogenesis Macrophage,N
X201595493957045.T,0,CD4 or CD8 T cell,T
X201595494250342.T,9,Exhausted CD8+ T cells,T
X201595508644075.T,4,Macrophage,T
X201595508868917.T,1,CD4 or CD8 T cell,T
X201595521484637.T,0,CD4+ T cell,T
X201595540158701.N,2,Pro-angiogenesis Macrophage,N
X201595540588445.N,6,Natural killer cell,N
X201595540626852.N,4,Blood Cell,N
X201595540916526.T,5,B Cell,T
X201670655949557.N,3,Pro-angiogenesis Macrophage,N
X201670656485604.N,2,Pro-angiogenesis Macrophage,N
X201670670870379.N,2,Pro-angiogenesis Macrophage,N
X201670670896486.T,1,Exhausted CD8+ T cells,T
X201670683711261.T,10,CAFmyo,T
X201670683737310.T,5,B Cell,T
X201670683946405.N,1,Effector/Memory CD8+ T cells,N
X201670702323422.N,0,Effector/Memory CD4+ T cells,N
X201670702774700.T,0,T regulatory cells,T
X201670702816043.N,6,Natural killer cell,N
X204213411231533.N,2,Pro-angiogenesis Macrophage,N
X204213411240804.T,5,B Cell,T
X204213411342171.N,2,Pro-angiogenesis Macrophage,N
X204213411568948.T,0,CD8+ T cell,T
X204213411572014.N,2,Pro-angiogenesis Macrophage,N
X204213411593011.N,0,Effector/Memory CD4+ T cells,N
X204213425720222.T,0,T regulatory cells,T
X204213425916852.N,0,Effector/Memory CD4+ T cells,N
X204213425989534.N,4,Pro-angiogenesis Macrophage,N
X204213426183604.T,0,T regulatory cells,T
X204213438791022.N,2,Pro-angiogenesis Macrophage,N
X204213456910262.N,1,Effector/Memory CD4+ T cells,N
X204213457149219.N,1,Effector/Memory CD4+ T cells,N
X204213457214774.T,6,Natural killer cell,T
X204213457414435.N,3,Pro-angiogenesis Macrophage,N
X204213457479963.T,0,CD8+ T cell,T
X204213457669355.N,6,Natural killer cell,N
X204213457738532.T,5,B Cell,T
X204224148135195.N,1,Natural killer cell,N
X204224148236060.N,3,Pro-angiogenesis Macrophage,N
X204224148458293.T,0,Effector/Memory CD8+ T cells,T
X204224148649773.T,1,CD8+ T cell,T
X204224148650405.N,0,Blood Cell,N
X204224148728739.T,5,B Cell,T
X204224148949405.N,0,Effector/Memory CD4+ T cells,N
X204224163076453.N,3,Pro-angiogenesis Macrophage,N
X204224163364212.N,2,Pro-angiogenesis Macrophage,N
X204224163634590.T,1,Exhausted CD8+ T cells,T
X204224163659045.T,4,B Cell,T
X204224175725363.T,8,Macrophage,T
X204224175754670.N,6,Natural killer cell,N
X204224175926173.N,4,Pro-angiogenesis Macrophage,N
X204224176187107.N,3,Pro-angiogenesis Macrophage,N
X204224195152667.N,2,Pro-angiogenesis Macrophage,N
X204351789185374.N,6,Natural killer cell,N
X204351789451565.T,4,CD4+ T cell,T
X204351789549878.N,2,Pro-angiogenesis Macrophage,N
X204351790041445.N,1,Natural killer cell,N
X204351803865452.N,8,Lung Cancer Cell,N
X204351804718373.T,5,B Cell,T
X204351816461622.T,5,B Cell,T
X204351816555748.T,0,CD4+ T cell,T
X204351816813998.N,4,Pro-angiogenesis Macrophage,N
X204351816813998.T,5,B Cell,T
X204351816972139.N,2,Macrophage,N
X204351816976620.N,7,Pro-angiogenesis Macrophage,N
X204351817013020.T,1,CD4 or CD8 T cell,T
X204351817246966.N,0,Effector/Memory CD4+ T cells,N
X204351835401644.N,6,Natural killer cell,N
X204351835663782.N,0,Naive CD4+ T cells,N
X204351835683740.T,0,CD4 or CD8 T cell,T
X204351835920605.N,1,Effector/Memory CD4+ T cells,N
X204351836116709.T,1,CD8+ T cell,T
X204351836215589.T,3,Pro-angiogenesis Macrophage,T
X204358231645020.T,1,Exhausted CD8+ T cells,T
X204358231674078.N,6,Natural killer cell,N
X204358231702755.N,6,Natural killer cell,N
X204358231713651.T,10,CAFmyo,T
X204358231714140.N,3,Pro-angiogenesis Macrophage,N
X204358232165742.N,6,Natural killer cell,N
X204358232230197.N,0,Effector/Memory CD8+ T cells,N
X204358232501156.N,6,Natural killer cell,N
X204358232521947.T,1,CD8+ T cell,T
X204358246316971.N,0,Blood Cell,N
X204358246873956.N,0,Effector/Memory CD4+ T cells,N
X204358247110884.N,6,Natural killer cell,N
X204358258904307.N,7,Pro-inflammatory Macrophage,N
X204358259456299.T,11,LAMP3 cDC,T
X204358259527078.T,4,Any Cell,T
X204358259764059.N,7,Pro-angiogenesis Macrophage,N
X204358278043933.T,2,Phagocytosis Macrophage,T
X204358278667493.N,2,Pro-angiogenesis Macrophage,N
X204359574183196.N,3,Pro-angiogenesis Macrophage,N
X204359588566966.T,0,CD4+ T cell,T
X204359588822253.T,0,CD4+ T cell,T
X204359589095326.N,2,Pro-angiogenesis Macrophage,N
X204359589353716.N,1,Effector/Memory CD8+ T cells,N
X204359589382885.N,13,Lung Cancer Cell,N
X204359601085725.N,3,Pro-angiogenesis Macrophage,N
X204359601110325.N,2,Pro-angiogenesis Macrophage,N
X204359601110444.T,0,Tfh/Th1 helper CD4+ T cells,T
X204359601445302.N,3,Pro-angiogenesis Macrophage,N
X204359601962205.N,0,Blood Cell,N
X204359601965806.N,0,Effector/Memory CD4+ T cells,N
X204359620549916.T,5,B Cell,T
X204360513861406.T,1,CD4 or CD8 T cell,T
X204360528291699.N,0,Naive CD4+ T cells,N
X204360528293294.T,5,B Cell,T
X204360528324444.N,7,Macrophage,N
X204360528549604.T,5,B Cell,T
X204360528550747.N,0,Effector/Memory CD4+ T cells,N
X204360528578278.N,0,Effector/Memory CD4+ T cells,N
X204360540941557.N,0,Effector/Memory CD4+ T cells,N
X204360541125987.N,0,Effector/Memory CD4+ T cells,N
X204360541138163.N,4,Pro-angiogenesis Macrophage,N
X204360541486499.N,6,Natural killer cell,N
X204360559515429.T,1,CD8+ T cell,T
X204360559577014.N,3,Pro-angiogenesis Macrophage,N
X204360559586155.N,13,Lung Cancer Cell,N
X204360559807221.T,1,CD8+ T cell,T
X204360560044958.N,0,Effector/Memory CD4+ T cells,N
X204360560364315.T,1,Exhausted CD8+ T cells,T
X204403329067230.N,8,Lung Cancer Cell,N
X204403329100580.T,4,Macrophage,T
X204403329316638.T,7,Macrophage,T
X204403329583910.N,1,Effector/Memory CD8+ T cells,N
X204403329619755.T,4,Macrophage,T
X204403329657692.N,3,Pro-angiogenesis Macrophage,N
X204403343735222.T,9,Exhausted CD8+ T cells,T
X204403343800739.N,2,Pro-angiogenesis Macrophage,N
X204403344264604.T,1,Exhausted CD8+ T cells,T
X204403344365483.N,0,Blood Cell,N
X204403356125918.T,14,Mast cell,T
X204403356130100.T,0,CD8+ T cell,T
X204403356322029.T,1,Effector/Memory CD8+ T cells,T
X204403356678883.T,8,Endothelial Cells,T
X204403375036846.T,0,CD4+ T cell,T
X204403375271195.N,3,Pro-angiogenesis Macrophage,N
X204403375295925.T,4,Phagocytosis Macrophage,T
X204403375463267.N,0,Effector/Memory CD8+ T cells,N
X204403375749939.T,5,B Cell,T
X204403375820197.N,4,Pro-angiogenesis Macrophage,N
X204427085340075.N,7,Pro-inflammatory Macrophage,N
X204427085436636.T,4,Macrophage,T
X204427085670254.N,2,Pro-angiogenesis Macrophage,N
X204427085933475.T,9,Exhausted CD8+ T cells,T
X204427086186269.T,2,Macrophage,T
X204427086215478.T,12,Endothelial Cells,T
X204427086223771.T,5,Blood Cell,T
X204427100116701.T,4,Macrophage,T
X204427100338462.N,2,Pro-angiogenesis Macrophage,N
X204427100838812.T,1,Exhausted CD8+ T cells,T
X204427112607030.N,3,Pro-angiogenesis Macrophage,N
X204427113184683.T,0,T regulatory cells,T
X204427113384236.T,1,Tfh/Th1 helper CD4+ T cells,T
X204427113418014.N,7,Pro-angiogenesis Macrophage,N
X204427113421102.T,0,T regulatory cells,T
X204427131501356.N,3,Pro-angiogenesis Macrophage,N
X204427131566940.T,5,B Cell,T
X204427131808541.T,4,Macrophage,T
X204756724606835.T,0,CD4+ T cell,T
X204756739086062.T,0,CD4 or CD8 T cell,T
X204756739312878.T,0,CD4 or CD8 T cell,T
X204756739344813.N,6,Natural killer cell,N
X204756751632221.T,1,Exhausted CD8+ T cells,T
X204756751903667.N,8,Any Cell,N
X204756752124214.N,1,Effector/Memory CD8+ T cells,N
X204756752219555.T,11,cDC2,T
X204756752222051.N,0,Blood Cell,N
X204756770314670.N,3,Pro-angiogenesis Macrophage,N
X204756771006830.N,2,Pro-angiogenesis Macrophage,N
X204762092780958.T,12,Endothelial Cells,T
X204762093046061.N,7,Pro-inflammatory Macrophage,N
X204762093108659.N,2,Macrophage,N
X204762093566774.T,8,Non Blood Cell,T
X204762093602667.T,5,B Cell,T
X204762107465069.N,0,Effector/Memory CD4+ T cells,N
X204762107795171.N,0,Effector/Memory CD4+ T cells,N
X204762108287900.T,1,Exhausted CD8+ T cells,T
X204762120833780.N,7,Pro-inflammatory Macrophage,N
X204762120898803.T,1,Exhausted CD8+ T cells,T
X204762120907556.N,0,Blood Cell,N
X204762120940340.T,0,T regulatory cells,T
X204762138925427.N,4,Macrophage,N
X204762138986931.N,3,Pro-angiogenesis Macrophage,N
X204762139506420.T,5,B Cell,T
X204762139737508.T,5,B Cell,T
X204763032664286.N,1,Effector/Memory CD8+ T cells,N
X204763032832869.N,2,Pro-angiogenesis Macrophage,N
X204763032869173.T,0,Effector/Memory CD8+ T cells,T
X204763032873828.N,7,Pro-angiogenesis Macrophage,N
X204763032930147.T,5,B Cell,T
X204763047258987.N,3,Pro-angiogenesis Macrophage,N
X204763047512989.T,1,CD8+ T cell,T
X204763047574251.N,7,Macrophage,N
X204763047783646.T,1,Effector/Memory CD8+ T cells,T
X204763059832757.T,5,B Cell,T
X204763059903724.T,0,CD4+ T cell,T
X204763060095212.N,2,Pro-angiogenesis Macrophage,N
X204763060365747.T,1,CD8+ T cell,T
X204763060419443.T,2,Macrophage,T
X204763078774069.T,0,CD8+ T cell,T
X204763078969699.T,5,B Cell,T
X204763079264996.T,1,Exhausted CD8+ T cells,T
X204763079301540.T,5,B Cell,T
X204765448230621.N,2,Pro-angiogenesis Macrophage,N
X204765448812461.T,1,Effector/Memory CD8+ T cells,T
X204765449087707.N,0,Blood Cell,N
X204765463006582.T,8,Any Cell,T
X204765463469413.T,1,Effector/Memory CD8+ T cells,T
X204765475759988.T,10,CAFinfla,T
X204765476043507.N,0,Effector/Memory CD4+ T cells,N
X204765476051868.N,11,Macrophage,N
X204765476312940.T,0,Effector/Memory CD4+ T cells,T
X204765476342557.T,7,Macrophage,T
X204765494372763.T,0,CD4+ T cell,T
X204765494916979.N,1,CD4 or CD8 T cell,N
X204816853616541.N,1,Effector/Memory CD8+ T cells,N
X204816853876019.T,1,Exhausted CD8+ T cells,T
X204816853986548.N,6,Effector/Memory CD8+ T cells,N
X204816854464860.T,5,B Cell,T
X204816868294043.T,1,Effector/Memory CD8+ T cells,T
X204816868600094.N,3,Pro-angiogenesis Macrophage,N
X204816868620574.N,6,Natural killer cell,N
X204816868625310.N,2,Pro-angiogenesis Macrophage,N
X204816868632427.T,5,B Cell,T
X204816868653422.T,1,Effector/Memory CD8+ T cells,T
X204816869088549.N,1,CD8 T or NK cell,N
X204816869088692.T,4,Macrophage,T
X204816880982302.N,6,Natural killer cell,N
