cell,integration_cluster,cell_type,sample_type
X122293398923102.T,1,CD4+ T cell,T
X122308384417699.T,9,T regulatory cells,T
X122308384708340.T,5,B Cell,T
X122308384962342.T,0,Effector/Memory CD8+ T cells,T
X122308384995166.N,4,Pro-angiogenesis Macrophage,N
X122308385199915.T,0,CD4+ T cell,T
X122308385204077.N,2,Pro-angiogenesis Macrophage,N
X122308399130486.T,5,B Cell,T
X122308399847652.N,7,Pro-angiogenesis Macrophage,N
X122308411682091.T,9,Exhausted CD8+ T cells,T
X122308411931998.N,0,Effector/Memory CD4+ T cells,N
X122308411938603.T,2,Macrophage,T
X122308412205916.N,4,Pro-angiogenesis Macrophage,N
X122308412488926.N,3,Pro-angiogenesis Macrophage,N
X122308412497140.T,5,B Cell,T
X122308430876022.T,2,Macrophage,T
X122308431076772.T,4,Blood Cell,T
X122308431107892.N,3,Pro-angiogenesis Macrophage,N
X122308431374046.T,0,CD4+ T cell,T
X122310397705124.T,0,Effector/Memory CD4+ T cells,T
X122310397709035.T,0,Tfh/Th1 helper CD4+ T cells,T
X122310397745973.N,3,Pro-angiogenesis Macrophage,N
X122310398458662.T,2,Phagocytosis Macrophage,T
X122310412888435.N,3,Pro-angiogenesis Macrophage,N
X122310412945628.T,2,Macrophage,T
X122310413182691.T,4,Macrophage,T
X122310425004468.T,1,Exhausted CD8+ T cells,T
X122310425205619.N,2,Pro-angiogenesis Macrophage,N
X122310425241462.N,2,Pro-angiogenesis Macrophage,N
X122310443842806.N,0,Effector/Memory CD4+ T cells,N
X122310444050292.T,0,CD4+ T cell,T
X122310444369645.N,8,CAFadi,N
X122310444669221.N,1,Effector/Memory CD8+ T cells,N
X122428777949981.N,2,Pro-angiogenesis Macrophage,N
X122428777982388.N,2,Pro-angiogenesis Macrophage,N
X122428777983261.N,0,Effector/Memory CD4+ T cells,N
X122428778499492.T,1,Exhausted CD8+ T cells,T
X122428792355755.N,0,Effector/Memory CD4+ T cells,N
X122428792393139.T,8,CAFinfla,T
X122428792429876.T,7,Phagocytosis Macrophage,T
X122428792687013.T,4,Phagocytosis Macrophage,T
X122428805048740.T,1,Exhausted CD8+ T cells,T
X122428805212510.N,2,Pro-angiogenesis Macrophage,N
X122428805278454.N,4,Pro-angiogenesis Macrophage,N
X122428805303006.N,1,Effector/Memory CD8+ T cells,N
X122428805465965.N,11,cDC2,N
X122428805466348.N,7,Pro-angiogenesis Macrophage,N
X122428805565276.T,8,CAFinfla,T
X122428823813421.N,3,Pro-angiogenesis Macrophage,N
X122428823849780.T,1,CD8+ T cell,T
X122428823878902.N,6,Natural killer cell,N
X122428824116139.N,2,Pro-angiogenesis Macrophage,N
X122428824672094.T,9,Macrophage,T
X122428824706277.T,1,Exhausted CD8+ T cells,T
X122436428412844.T,7,Macrophage,T
X122436428458213.N,6,Natural killer cell,N
X122436428458419.N,0,Blood Cell,N
X122436428674854.T,1,Exhausted CD8+ T cells,T
X122436428715822.T,1,Exhausted CD8+ T cells,T
X122436442839838.N,3,Pro-angiogenesis Macrophage,N
X122436443102107.T,1,Effector/Memory CD8+ T cells,T
X122436443130157.N,6,Natural killer cell,N
X122436443359133.T,5,B Cell,T
X122436455459236.T,0,T regulatory cells,T
X122436455619805.T,5,B Cell,T
X122436455884643.N,2,Pro-angiogenesis Macrophage,N
X122436456175900.T,0,T regulatory cells,T
X122436474267445.N,3,Pro-angiogenesis Macrophage,N
X122436474492709.T,0,Effector/Memory CD8+ T cells,T
X122436474527011.N,2,Pro-angiogenesis Macrophage,N
X122436474760414.N,3,Pro-angiogenesis Macrophage,N
X122436474813685.N,2,Pro-angiogenesis Macrophage,N
X122436474820404.N,5,Blood Cell,N
X122436475079028.N,0,Naive CD4+ T cells,N
X122514677815094.N,6,Natural killer cell,N
X122514677877093.T,12,Endothelial Cells,T
X122514677905268.N,1,CD4 or CD8 T cell,N
X122514692070619.N,11,cDC1,N
X122514692265692.N,3,Pro-angiogenesis Macrophage,N
X122514692496820.N,2,Pro-angiogenesis Macrophage,N
X122514704586606.T,0,Blood Cell,T
X122514705107317.T,8,Normal Tissue Cell,T
X122514705176926.N,3,Pro-angiogenesis Macrophage,N
X122514723237292.N,4,Macrophage,N
X122514723760038.N,8,Lung Cancer Cell,N
X122514723784549.N,1,Natural killer cell,N
X122514723788581.N,13,Lung Cancer Cell,N
X122514724011310.T,1,Exhausted CD8+ T cells,T
X122514724051227.T,5,B Cell,T
X125042399537059.T,1,Effector/Memory CD8+ T cells,T
X125042399762283.T,5,B Cell,T
X125042399800172.T,5,B Cell,T
X125042400054507.T,0,CD4+ T cell,T
X125042414274933.N,0,Effector/Memory CD4+ T cells,N
X125042414546230.T,4,Blood Cell,T
X125042415061723.T,1,Exhausted CD8+ T cells,T
X125042426857323.T,2,Macrophage,T
X125042427017653.N,2,Pro-angiogenesis Macrophage,N
X125042427288478.T,0,CD4+ T cell,T
X125042427542773.T,8,CAFmyo,T
X125042427608286.T,4,CD4+ T cell,T
X125042427641053.T,1,CD8+ T cell,T
X125042427647909.N,2,Pro-angiogenesis Macrophage,N
X125042445642139.N,3,Pro-angiogenesis Macrophage,N
X125042445667124.N,3,Pro-angiogenesis Macrophage,N
X125042445700012.N,11,cDC1,N
X125042445899557.N,1,Effector/Memory CD8+ T cells,N
X125042445903669.N,1,Effector/Memory CD4+ T cells,N
X125042445937894.N,3,Pro-angiogenesis Macrophage,N
X125197018426203.T,4,Macrophage,T
X125197018578227.T,10,CAFmyo,T
X125197018875828.N,7,Macrophage,N
X125197033559862.N,2,Pro-angiogenesis Macrophage,N
X125197033848035.T,2,Phagocytosis Macrophage,T
X125197033888484.N,0,Effector/Memory CD4+ T cells,N
X125197045688734.T,1,Exhausted CD8+ T cells,T
